taxa	samplingDate	samplingCountry
hCoV-19/Belgium/BA-02291/2020|EPI_ISL_415159|Belgium|2020-02-29	2020.1612021857923	Belgium
hCoV-19/Belgium/AGR-0324174/2020|EPI_ISL_420431|Belgium|2020-03-24	2020.2267759562842	Belgium
hCoV-19/Belgium/BJ-030767/2020|EPI_ISL_420323|Belgium|2020-03-07	2020.1803278688524	Belgium
hCoV-19/Belgium/SS-031047/2020|EPI_ISL_418793|Belgium|2020-03-10	2020.188524590164	Belgium
hCoV-19/Belgium/UGent-70/2020|EPI_ISL_451181|Belgium|2020-04-14	2020.2841530054645	Belgium
hCoV-19/Belgium/GE-030573/2020|EPI_ISL_420329|Belgium|2020-03-05	2020.1748633879781	Belgium
hCoV-19/Belgium/BWM-0311356/2020|EPI_ISL_462210|Belgium|2020-03-11	2020.191256830601	Belgium
hCoV-19/Belgium/LPJ-0401364/2020|EPI_ISL_462218|Belgium|2020-04-01	2020.2486338797814	Belgium
hCoV-19/Belgium/DRR-0401366/2020|EPI_ISL_462220|Belgium|2020-04-01	2020.2486338797814	Belgium
hCoV-19/Belgium/LJA-0401368/2020|EPI_ISL_462222|Belgium|2020-04-01	2020.2486338797814	Belgium
hCoV-19/Belgium/OTG-0401375/2020|EPI_ISL_462229|Belgium|2020-04-01	2020.2486338797814	Belgium
hCoV-19/Belgium/MI-0407274/2020|EPI_ISL_464068|Belgium|2020-04-07	2020.2650273224044	Belgium
hCoV-19/Belgium/WVM-0317325/2020|EPI_ISL_462179|Belgium|2020-03-17	2020.207650273224	Belgium
hCoV-19/Belgium/TVMT-0404277/2020|EPI_ISL_464071|Belgium|2020-04-04	2020.2568306010928	Belgium
hCoV-19/Belgium/BD-0407280/2020|EPI_ISL_464074|Belgium|2020-04-07	2020.2650273224044	Belgium
hCoV-19/Belgium/ULG-10212/2020|EPI_ISL_484700|Belgium|2020-06-09	2020.4371584699454	Belgium
hCoV-19/Belgium/PA-030680/2020|EPI_ISL_420336|Belgium|2020-03-06	2020.1775956284152	Belgium
hCoV-19/Belgium/ULG-10274/2020|EPI_ISL_515081|Belgium|2020-07-10	2020.5218579234972	Belgium
hCoV-19/Belgium/ULG-10253/2020|EPI_ISL_515060|Belgium|2020-07-18	2020.5437158469945	Belgium
hCoV-19/Belgium/ULG-10256/2020|EPI_ISL_515063|Belgium|2020-07-17	2020.5409836065573	Belgium
hCoV-19/Belgium/ULG-10259/2020|EPI_ISL_515066|Belgium|2020-07-11	2020.5245901639344	Belgium
hCoV-19/Belgium/ULG-10265/2020|EPI_ISL_515072|Belgium|2020-07-16	2020.5382513661202	Belgium
hCoV-19/Belgium/ULG-10269/2020|EPI_ISL_515076|Belgium|2020-07-20	2020.549180327869	Belgium
hCoV-19/Belgium/BM-030687/2020|EPI_ISL_420343|Belgium|2020-03-06	2020.1775956284152	Belgium
hCoV-19/Belgium/ULG-10268/2020|EPI_ISL_515075|Belgium|2020-07-19	2020.5464480874316	Belgium
hCoV-19/Belgium/ULG-10271/2020|EPI_ISL_515078|Belgium|2020-07-18	2020.5437158469945	Belgium
hCoV-19/Belgium/RJL-030588/2020|EPI_ISL_420344|Belgium|2020-03-05	2020.1748633879781	Belgium
hCoV-19/Belgium/ULG-10426/2020|EPI_ISL_581606|Belgium|2020-08-14	2020.6174863387978	Belgium
hCoV-19/Belgium/ULG-10429/2020|EPI_ISL_581607|Belgium|2020-08-14	2020.6174863387978	Belgium
hCoV-19/Belgium/ULG-10431/2020|EPI_ISL_581609|Belgium|2020-08-17	2020.6256830601094	Belgium
hCoV-19/Belgium/ULG-10486/2020|EPI_ISL_581650|Belgium|2020-09-23	2020.7267759562842	Belgium
hCoV-19/Belgium/ULG-10492/2020|EPI_ISL_581654|Belgium|2020-09-23	2020.7267759562842	Belgium
hCoV-19/Belgium/ULG-9535/2020|EPI_ISL_447123|Belgium|2020-03-21	2020.2185792349726	Belgium
hCoV-19/Belgium/ULG-10497/2020|EPI_ISL_581659|Belgium|2020-09-23	2020.7267759562842	Belgium
hCoV-19/Belgium/SB-030990/2020|EPI_ISL_420346|Belgium|2020-03-09	2020.1857923497269	Belgium
hCoV-19/Belgium/ULG-10460/2020|EPI_ISL_582027|Belgium|2020-08-31	2020.6639344262296	Belgium
hCoV-19/Belgium/HCM-0324151/2020|EPI_ISL_420408|Belgium|2020-03-24	2020.2267759562842	Belgium
hCoV-19/Belgium/ULG-10171/2020|EPI_ISL_455959|Belgium|2020-05-11	2020.3579234972678	Belgium
hCoV-19/Belgium/ULG-10183/2020|EPI_ISL_455971|Belgium|2020-05-09	2020.3524590163934	Belgium
hCoV-19/Belgium/ULG-10186/2020|EPI_ISL_455974|Belgium|2020-05-11	2020.3579234972678	Belgium
hCoV-19/Belgium/DCS-030796/2020|EPI_ISL_420352|Belgium|2020-03-07	2020.1803278688524	Belgium
